Raz�o Social,Fundo,Segmento,Codigo
AF INVEST CRI FDO. INV. IMOB - RECEB�VEIS IMOB.,FII AFHI CRI,,AFHI
ALIANZA FOF FUNDO DE INVESTIMENTO IMOBILI�RIO,FII ALIANZFF,,AFOF
ALIANZA MULTIOFFICES  - FDO. INV. IMOB,FII MULT OF1,,MTOF
ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB,FII ALIANZA,,ALZR
AUTONOMY EDIF�CIOS CORPORATIVOS FUND. INV. IMOB.,FII AUTONOMY,,AIEC
BANESTES RECEB�VEIS IMOBILI�RIOS FDO INV IMOB  FII,FII BEES CRI,,BCRI
BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII,FII BANRISUL,,BNFS
BARZEL FUNDO DE INVESTIMENTO IMOBILI�RIO,FII BARZEL,,BZEL
BB FDO INV IMOB PROGRESSIVO,FII BB PROGR,MB,BBFI
BB FUNDO DE FUNDOS - FDO. INV. IMOB.,FII BB FOF,,BBFO
BB PROGRESSIVO II FDO INV IMOB - FII,FII BB PRGII,,BBPO
BB RECEBIVEIS IMOBILIARIOS FDO INV IMOB - FII,FII BB RECIM,,BBIM
BB RENDA CORPORATIVA FDO INV IMOB - FII,FII BB CORP,,BBRC
BB RENDA DE PAPEIS IMOB II FDO INV IMOB - FII,FII BB PAPII,,RDPD
BB RENDA DE PAP�IS IMOBILI�RIOS FDO INV IMOB - FII,FII BB R PAP,,RNDP
BLUECAP RENDA LOG. FDO INV. IMOB. - FII,FII BLUECAP,,BLCP
BLUEMACAW CATUA� TRIPLE A FDO DE INV IMOB,FII BLUE AAA,,BLCA
BLUEMACAW CR�DITO IMOBILI�RIO - FDO. INV. IMOB.,FII BLUE CRI,,BLMC
BLUEMACAW LOG�STICA FDO. INVEST. IMOB.,FII BLUE LOG,,BLMG
BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.,FII BLUEMAC,,BLMO
BLUEMACAW RENDA + FOF FDO. INVEST. IMOB.,FII BLUE FOF,,BLMR
BR PROPERTIES FUNDO DE INVESTIMENTO IMOBILI�RIO,FII BR PROPE,,BROL
BRADESCO CARTEIRA IMOBILI�RIA ATIVA - FII,FII BCIA,,BCIA
BRAZIL REAL ESTATE VICTORY FUND I - FDO. INV. IMOB,FII BRE VIC,,BREV
BRAZIL REALTY FDO INV IMOB,FII BRREALTY,,BZLI
BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII,FII DEA CARE,,CARE
BRESCO LOG�STICA - FDO INV IMOB,FII BRESCO,,BRCO
BRIO CR�DITO ESTRUTURADO - FDO. INVEST. IMOB.,FII BRIO CRE,,BICE
BRIO MULTIESTRAT�GIA FUNDO DE INVESTIMENTO IMOB.,FII BRIO ME,,BIME
BRIO REAL ESTATE II - FDO INV IMOB,FII BRIO II,,BRIM
BRIO REAL ESTATE III FDO DE INVEST. IMOB.,FII BRIO III,,BRIP
BTG PACTUAL LOGISTICA FDO INV IMOB - FII,FII BTLG,,BTLG
BTOWERS FII - FUNDO DE INVESTIMENTO IMOBILI�RIO,FII BTOWERS,,BTWR
BTSP I FDO. INVEST. IMOB - FII,FII BTSP I,,BTSG
BTSP II FUNDO DE INVESTIMENTO IMOBILI�RIO,FII BTSP II,,BTSI
CAIXA RIO BRAVO FDO DE FDOS INV IMOB II,FII CX RBRA2,,CRFF
CAIXA RIO BRAVO FUNDO DE FDO INV IMOB - FII,FII CX RBRAV,,CXRI
CANVAS CRI - FUNDO DE INVESTIMENTO IMOBILI�RIO,FII CANVAS,,CCRF
CAPIT�NIA REIT FOF - FDO. INVEST. IMOB,FII CAP REIT,,CPFF
CAPITANIA SECURITIES II FDO INV IMOB - FII,FII CAPI SEC,,CPTS
CARTESIA RECEB�VEIS IMOBILI�RIOS - FUNDO DE INVEST,CARTESIA FII,,CACR
CASTELLO BRANCO OFFICE PARK FDO INV IMOB - FII,FII C BRANCO,,CBOP
CF2 FUNDO DE INVESTIMENTO IMOBILI�RIO,FII CF2,,CFHI
CIDADE JARDIM CONTINENAL TOWER FDO INV IMOB,FII CJCTOWER,,CJCT
CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILI�RIO,FII CORE MET,,CORM
CSHG IMOB. FOF - FDO INV. IMOB. - FII,FII CSHG FOF,,HGFF
CSHG LOG�STICA FDO INV IMOB - FII,FII CSHG LOG,,HGLG
CSHG PRIME OFFICES FDO INV IMOB - FII,FII CSHGPRIM,,HGPO
